,city,category,property,price,currency,min_price,max_price
268,Mannheim,Markets,Tomato (1kg),0.91,€,0.79,2.39
269,Mannheim,Markets,Potato (1kg),1.52,€,0.50,3.00
270,Mannheim,Markets,Onion (1kg),1.01,€,0.89,1.50
271,Mannheim,Markets,Lettuce (1 head),1.15,€,0.99,1.30
272,Mannheim,Markets,Water (1.5 liter bottle),0.41,€,0.25,0.69
273,Mannheim,Markets,Bottle of Wine (Mid-Range),5.00,€,3.00,8.00
274,Mannheim,Markets,Domestic Beer (0.5 liter bottle),0.56,€,0.53,0.89
275,Mannheim,Markets,Imported Beer (0.33 liter bottle),1.30,€,1.00,1.99
276,Mannheim,Markets,Cigarettes 20 Pack (Marlboro),7.20,€,7.00,9.00
278,Mannheim,Transportation,One-way Ticket (Local Transport),2.70,€,2.40,3.00
279,Mannheim,Transportation,Monthly Pass (Regular Price),75.90,€,70.00,90.00
280,Mannheim,Transportation,Taxi Start (Normal Tariff),3.50,€,2.90,3.50
281,Mannheim,Transportation,Taxi 1km (Normal Tariff),2.15,€,1.60,2.90
282,Mannheim,Transportation,Taxi 1hour Waiting (Normal Tariff),30.00,€,30.00,30.00
283,Mannheim,Transportation,Gasoline (1 liter),1.94,€,1.72,2.20
284,Mannheim,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,500.00",€,"23,000.00","28,000.00"
285,Mannheim,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"23,666.67",€,"24,000.00","25,000.00"
287,Mannheim,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",253.73,€,188.89,310.00
288,Mannheim,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.20,€,0.10,0.10
289,Mannheim,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",35.00,€,25.00,40.00
291,Mannheim,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",34.44,€,20.00,50.00
292,Mannheim,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),23.33,€,15.00,25.00
293,Mannheim,Internet (60 Mbps,"Cinema, International Release, 1 Seat",12.00,€,10.00,14.00
295,Mannheim,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",441.67,€,350.00,575.00
296,Mannheim,Childcare,"International Primary School, Yearly for 1 Child","9,250.00",€,,
298,Mannheim,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),77.50,€,50.00,100.00
299,Mannheim,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",32.50,€,25.00,40.00
300,Mannheim,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),96.22,€,70.00,120.00
301,Mannheim,Clothing And Shoes,1 Pair of Men Leather Business Shoes,117.50,€,60.00,160.00
303,Mannheim,Rent Per Month,Apartment (1 bedroom) in City Centre,685.00,€,585.00,865.00
304,Mannheim,Rent Per Month,Apartment (1 bedroom) Outside of Centre,486.88,€,450.00,550.00
305,Mannheim,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,337.14",€,"1,100.00","1,500.00"
306,Mannheim,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,052.86",€,820.00,"1,300.00"
308,Mannheim,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"4,500.00",€,,
309,Mannheim,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"5,000.00",€,,
311,Nuremberg,Restaurants,"Meal, Inexpensive Restaurant",10.00,€,8.00,20.00
312,Nuremberg,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",50.00,€,30.00,70.00
313,Nuremberg,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.00,€,8.00,10.00
314,Nuremberg,Restaurants,Domestic Beer (0.5 liter draught),3.50,€,2.80,4.50
315,Nuremberg,Restaurants,Imported Beer (0.33 liter bottle),4.00,€,3.00,5.00
316,Nuremberg,Restaurants,Cappuccino (regular),3.26,€,2.50,4.50
317,Nuremberg,Restaurants,Coke/Pepsi (0.33 liter bottle),2.93,€,2.50,4.00
318,Nuremberg,Restaurants,Water (0.33 liter bottle),2.96,€,2.20,3.50
320,Nuremberg,Markets,"Milk (regular), (1 liter)",1.00,€,0.79,1.25
321,Nuremberg,Markets,Loaf of Fresh White Bread (500g),1.86,€,0.79,3.50
322,Nuremberg,Markets,"Rice (white), (1kg)",2.14,€,1.38,2.99
323,Nuremberg,Markets,Eggs (regular) (12),2.71,€,1.91,3.60
324,Nuremberg,Markets,Local Cheese (1kg),12.76,€,8.00,20.00
325,Nuremberg,Markets,Chicken Fillets (1kg),8.58,€,3.69,12.00
326,Nuremberg,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),14.54,€,9.99,25.00
327,Nuremberg,Markets,Apples (1kg),2.66,€,1.19,3.50
328,Nuremberg,Markets,Banana (1kg),1.58,€,0.99,2.00
329,Nuremberg,Markets,Oranges (1kg),2.10,€,1.98,3.50
330,Nuremberg,Markets,Tomato (1kg),1.64,€,0.79,3.00
331,Nuremberg,Markets,Potato (1kg),1.62,€,0.56,2.50
332,Nuremberg,Markets,Onion (1kg),1.33,€,0.89,3.00
333,Nuremberg,Markets,Lettuce (1 head),1.22,€,0.80,1.69
334,Nuremberg,Markets,Water (1.5 liter bottle),0.56,€,0.25,1.00
335,Nuremberg,Markets,Bottle of Wine (Mid-Range),5.00,€,3.50,7.00
